proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,symbol
0x4ff44f5e2c039122daab3047f03d390aacda8915,113604505041935731446804753325733873803156099090152289745520059477441469283572,0xd1a71ebae042d4efbff4699f4405e6332ea7c051941817206ee6bbcd987567b5,11.9989,0.825,9.8991,0,-9.8991,-99.9996,11.9989,0.0,-100,0,True,False,"XRP Up or Down - March 24, 4:45PM-4:50PM ET",xrp-updown-5m-1774385100,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,301013,xrp-updown-5m-1774385100,Down,1,Up,52544600419817742328999711496860599609502336561079986159992591348990099589133,2026-03-24,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,103524673229510088411910082252357906751239645171474883561655036625478147593839,0x2c81aa102d548ce37bafd147f84f061bd082e3d14b9b032386c420a55a543587,11.9558,0.775,9.2657,0,-9.2657,-99.9991,12.0,0.0,-100,0,True,False,"Ethereum Up or Down - March 23, 3:00PM-3:05PM ET",eth-updown-5m-1774292400,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,297353,eth-updown-5m-1774292400,Down,1,Up,78503029470160271166398764149440812643220629655692338136144885981853598007581,2026-03-23,False,ETH
0x4ff44f5e2c039122daab3047f03d390aacda8915,32761451405093201202620307500198430252696882398565541847521307902419940193708,0x2f6382cce06976caba6687ccaf481cf23bcbb620f884c42b2a85ca114525d461,11.9259,0.391,4.6642,0,-4.6642,-99.9998,12.0,0.0,-100,0,True,False,"Solana Up or Down - March 23, 1:40PM-1:45PM ET",sol-updown-5m-1774287600,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,297174,sol-updown-5m-1774287600,Down,1,Up,9584734964500021392343088996059533122000665502362669058202992792379845244302,2026-03-23,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,107491438014283659378960563004976854294350329072613709105740400043267916634353,0xa7eb1178d110bd1041ccc2264d09f4d65bc12c0b898dee9872a0b6e53eea83b7,11.8708,0.5929,7.0386,0,-7.0386,-99.9989,16.865,-1.3632,-100,0,True,False,"XRP Up or Down - April 1, 7:00PM-7:05PM ET",xrp-updown-5m-1775084400,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,330422,xrp-updown-5m-1775084400,Down,1,Up,20478165866454415344187365778324453499160473058489257471549232299213428072788,2026-04-01,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,83929020775013053692559359185620860364729553449784316141653668761586691462466,0x53f0b5bf2d5e0750e57eba6ea66375db6849c4a10706d966f139fbf3e88f7bd6,11.8233,0.4141,4.8968,0,-4.8968,-99.999,12.0,0.0,-100,0,True,False,"Solana Up or Down - March 24, 1:05PM-1:10PM ET",sol-updown-5m-1774371900,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,300523,sol-updown-5m-1774371900,Up,0,Down,14622175336857745015471472694301848090175623296474391095261875209269101677328,2026-03-24,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,42311901861091697920420876591743686191899879793582746445393030117857138611565,0x7c3a208eeeca86011a0bcfb5660df4315284392b690034d621dc57f8134c79cb,11.5879,0.41,4.751,0,-4.751,-99.9985,11.76,0.0,-100,0,True,False,"Solana Up or Down - March 19, 3:30PM-3:35PM ET",sol-updown-5m-1773948600,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,283911,sol-updown-5m-1773948600,Up,0,Down,44984415739985961858932206253220008328887110090760456492363784851856217118162,2026-03-19,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,81111096369938410072963955077674709945194470036041368827546996723078644731929,0x306237ca7e4859e7fffb08d403ba1e6cea3f55fc76f3b6d90de2951d6ec543a9,11.4744,0.4174,4.7902,0,-4.7902,-99.9982,11.9767,0.0,-100,0,True,False,"XRP Up or Down - April 19, 2:00PM-2:05PM ET",xrp-updown-5m-1776621600,https://polymarket-upload.s3.us-east-2.amazonaws.com/XRP-logo.png,392875,xrp-updown-5m-1776621600,Up,0,Down,24976326621535617889206760580372512123363570941054274448975578989906065824815,2026-04-19,False,XRP
0x4ff44f5e2c039122daab3047f03d390aacda8915,115377903190093927702627463498521362978017700007870960634709137366551475707266,0x4935da28a5a20f4f8ae564216a0ba4ebb72741bfa0b588616b0babe1da9c1dbd,11.3665,0.4215,4.7917,0,-4.7917,-99.9987,11.8604,0.0,-100,0,True,False,"Solana Up or Down - April 8, 8:45AM-8:50AM ET",sol-updown-5m-1775652300,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,353851,sol-updown-5m-1775652300,Up,0,Down,91604957193032235603890798566628540866887205370054350272207513137764056114519,2026-04-08,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,41731551867288198897153128326414644785624122239723858478161151512090757081095,0x484cb8efcaef6ed941ac1a497f861040568bca1afa3c44a39c06a9ab2438319b,11.2586,0.4257,4.7932,0,-4.7932,-99.9987,11.7441,0.0,-100,0,True,False,"Solana Up or Down - April 9, 11:35AM-11:40AM ET",sol-updown-5m-1775748900,https://polymarket-upload.s3.us-east-2.amazonaws.com/SOL+fullsize.png,357728,sol-updown-5m-1775748900,Up,0,Down,64209839831435098094878987830879754827334201367733913614601560357850997407608,2026-04-09,False,SOL
0x4ff44f5e2c039122daab3047f03d390aacda8915,112006744239509268663880987723641303356877651439760370947154483440382838350046,0x135f61e6223fd1979093a8e349825b352e8dff93bba8aaeb9245046922eb0a87,11.0,0.46,5.06,0,-5.06,-99.9999,11.0,0.0,-100,0,True,False,"Ethereum Up or Down - March 20, 4:50AM-4:55AM ET",eth-updown-5m-1773996600,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,285632,eth-updown-5m-1773996600,Down,1,Up,26665529361873012877776891919214909757904718802804834043452454459880236550266,2026-03-20,False,ETH
